Building type	Coordinates (latitude)	Coordinates (longitude)	Number of employees	Number of students/residence	School type
M	40.92996	-73.769323	75		
M	40.92888	-73.769976	75		
M	40.910857	-73.781953	75		
M	40.909489	-73.791647	75		
M	40.92652	-73.773053	75		
M	40.903957	-73.788716	75		
M	40.921127	-73.788406	35		
M	40.921574	-73.788423	35		
M	40.920355	-73.787665	35		
M	40.928994	-73.770953	35		
M	40.928895	-73.769572	33		
M	40.928527	-73.769671	32		
M	40.927229	-73.772142	32		
M	40.926848	-73.773155	32		
M	40.912658	-73.774804	32		
M	40.91262	-73.775113	32		
M	40.899486	-73.794356	32		
M	40.907645	-73.778684	32		
M	40.903763	-73.789044	32		
M	40.910281	-73.796226	32		
M	40.928597	-73.76887	32		
M	40.928467	-73.770115	32		
M	40.925901	-73.772074	32		
M	40.917316	-73.785383	32		
M	40.908651	-73.772078	32		
M	40.893685	-73.782024	32		
M	40.907311	-73.792455	32		
M	40.904826	-73.788027	32		
M	40.923361	-73.772777	32		
M	40.981546	-73.776464	32		
M	40.914477	-73.77308	32		
M	40.908628	-73.785779	32		
M	40.90631	-73.789353	32		
M	40.909981	-73.790739	32		
M	40.910169	-73.793342	32		
M	40.910276	-73.792427	32		
M	40.9244	-73.802541	32		
M	40.935973	-73.797379	32		
M	40.920981	-73.775278	32		
M	40.911876	-73.77459	32		
M	40.913848	-73.781084	32		
G	40.907556	-73.793925	20		
G	40.928299	-73.772585	20		
G	40.90936	-73.795456	20		
G	40.896262	-73.794481	20		
G	40.909229	-73.780779	20		
G	40.985049	-73.777677	20		
G	40.985274	-73.77762	20		
G	40.947175	-73.794114	20		
G	40.916803	-73.778658	20		
G	40.91377	-73.784276	20		
G	40.911327	-73.778226	20		
G	40.90517	-73.774879	20		
G	40.910034	-73.780185	20		
G	40.902397	-73.790198	20		
G	40.907905	-73.782692	20		
G	40.908464	-73.781974	20		
G	40.908159	-73.78245	20		
G	40.910166	-73.796992	20		
G	40.910468	-73.796325	20		
G	40.909872	-73.796216	20		
G	40.909156	-73.795344	20		
G	40.909413	-73.79512	20		
G	40.909711	-73.791054	20		
G	40.907479	-73.774873	20		
G	40.921818	-73.774194	20		
G	40.974376	-73.775376	20		
G	40.958705	-73.772963	20		
G	40.908591	-73.785239	20		
G	40.912499	-73.783671	20		
G	40.895399	-73.779054	20		
G	40.905718	-73.786159	20		
G	40.907647	-73.78235	20		
G	40.904924	-73.788227	20		
G	40.91818	-73.785804	20		
G	40.921232	-73.78806	40		
G	40.909197	-73.794785	20		
J	40.984215	-73.777575	30		
J	40.91328	-73.775265	30		
J	40.910164	-73.781354	30		
J	40.900891	-73.791849	30		
J	40.945946	-73.796271	30		
J	40.923256	-73.787414	30		
J	40.980441	-73.776539	30		
J	40.94767	-73.795358	31		
J	40.916862	-73.779154	28		
J	40.914893	-73.785043	28		
J	40.907872	-73.783348	28		
J	40.902728	-73.790335	28		
J	40.913246	-73.789436	28		
M	40.928872	-73.77173	17		
M	40.916662	-73.786653	17		
M	40.911226	-73.781415	17		
M	40.888464	-73.789413	17		
M	40.902591	-73.790685	17		
M	40.899345	-73.798131	17		
M	40.90598	-73.792665	17		
M	40.907844	-73.794989	17		
M	40.911478	-73.792031	17		
M	40.908625	-73.793985	17		
M	40.908627	-73.793958	17		
M	40.902002	-73.790857	17		
M	40.90783	-73.78358	17		
M	40.907677	-73.785531	17		
M	40.907815	-73.786299	17		
M	40.903379	-73.790024	17		
M	40.902432	-73.791206	17		
M	40.981332	-73.776559	17		
M	40.898659	-73.777816	17		
M	40.948404	-73.792652	17		
M	40.908951	-73.781793	17		
M	40.907937	-73.790243	17		
M	40.901575	-73.788215	17		
M	40.926788	-73.786573	34		
M	40.901529	-73.79307	17		
M	40.91187	-73.765004	17		
M	40.923503	-73.78799	17		
M	40.920373	-73.765254	17		
M	40.920074	-73.765639	17		
M	40.918923	-73.767192	17		
M	40.919187	-73.776954	17		
M	40.918026	-73.768325	17		
M	40.917667	-73.768717	17		
M	40.917386	-73.769156	17		
M	40.917223	-73.769393	17		
M	40.920273	-73.764712	17		
M	40.919519	-73.765472	17		
M	40.915215	-73.770266	17		
M	40.914778	-73.778465	17		
M	40.913587	-73.774279	17		
M	40.913215	-73.777467	17		
M	40.898141	-73.792325	17		
M	40.903131	-73.78884	17		
M	40.905686	-73.786071	17		
M	40.906448	-73.78648	17		
M	40.901921	-73.792498	17		
M	40.913865	-73.784376	17		
